game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
23,YEARS,False,6,GABLE,-Y--Y,5,5,RANDOM,MEARS,-GGGG,1,1,CSS,PEARS,-GGGG,1,1,CSS,FEARS,-GGGG,1,1,CSS,REARS,-GGGG,1,1,CSS,HEARS,-GGGG,1,1,CSS
24,GRADE,True,4,PETTY,-Y---,5,5,RANDOM,AIRED,Y-YYY,5,4,CSS,DREAM,YGYY-,4,4,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,4,SQUAT,-----,5,5,RANDOM,LORDE,Y----,5,5,CSS,MCFLY,-Y-G-,4,4,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,3,HEROD,---GG,3,3,RANDOM,BLOOD,-GGGG,1,1,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
27,APPLY,True,5,CISCO,-----,5,5,RANDOM,ARTEM,G----,4,4,CSS,ALLAH,GY---,4,4,CSS,AWFUL,G---Y,4,4,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,4,SAITH,G-G--,3,3,RANDOM,SPINE,G-G-G,2,2,CSS,SLICE,GYG-G,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,4,WANDS,--Y--,5,5,RANDOM,REIGN,----Y,5,5,CSS,NOTCH,YY-G-,4,3,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,3,AMINE,----Y,5,5,RANDOM,LOSER,Y-YG-,4,4,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
31,BRICK,True,4,OXIDE,--G--,4,4,RANDOM,TAILS,--G--,4,4,CSS,CHINK,Y-G-G,3,3,CSS,BRICK,GGGGG,0,0,CSS,,,,,,,,,,
32,WROTE,True,5,SHRUB,--Y--,5,5,RANDOM,REINA,YY---,5,5,CSS,CREED,-GY--,4,4,CSS,TROPE,YGG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS,,,,,
33,RATED,False,6,NORSE,--Y-Y,5,5,RANDOM,DEMAR,YY-YY,5,5,CSS,RAPED,GG-GG,1,1,CSS,RAKED,GG-GG,1,1,CSS,RACED,GG-GG,1,1,CSS,RAGED,GG-GG,1,1,CSS
34,ALERT,True,4,FUCKS,-----,5,5,RANDOM,LOIRE,Y--GY,4,4,CSS,PEARL,-YYGY,4,4,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,
35,CAGES,False,6,WHOOP,-----,5,5,RANDOM,SARIN,YG---,4,4,CSS,CASTE,GGY-Y,3,3,CSS,CAVES,GG-GG,1,1,CSS,CAFES,GG-GG,1,1,CSS,CAKES,GG-GG,1,1,CSS
36,TEDDY,True,3,WYETH,-YYY-,5,5,RANDOM,TEARY,GG--G,2,2,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
37,COLES,True,5,LINEN,Y--G-,4,4,RANDOM,SALEM,Y-GG-,3,3,CSS,RULES,--GGG,2,2,CSS,FOLES,-GGGG,1,1,CSS,COLES,GGGGG,0,0,CSS,,,,,
38,HWANG,True,3,HAITI,GY---,4,4,RANDOM,HEARN,G-G-Y,3,3,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
39,WRATH,True,5,TRAPP,YGG--,3,3,RANDOM,GRANT,-GG-Y,3,3,CSS,IRATE,-GGG-,2,2,CSS,BRATS,-GGG-,2,2,CSS,WRATH,GGGGG,0,0,CSS,,,,,
40,MACHO,True,4,SCALE,-YY--,5,5,RANDOM,CARON,YG-Y-,4,4,CSS,MACAO,GGG-G,1,1,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,
41,LOPEZ,True,4,BERET,---G-,4,4,RANDOM,LADEN,G--G-,3,3,CSS,LOVES,GG-G-,2,2,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,
42,GOODY,True,3,TABOR,---Y-,5,5,RANDOM,COLES,-G---,4,4,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
43,BROTH,True,4,WRING,-G---,4,4,RANDOM,TRACE,YG---,4,4,CSS,FROTH,-GGGG,1,1,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,5,KAREL,--GY-,4,4,RANDOM,NORSE,--G-G,3,3,CSS,VERGE,GGG-G,1,1,CSS,VERVE,GGG-G,1,1,CSS,VERDE,GGGGG,0,0,CSS,,,,,
45,TAMED,True,4,WILLS,-----,5,5,RANDOM,ROUEN,---G-,4,4,CSS,MATED,YGYGG,2,2,CSS,TAMED,GGGGG,0,0,CSS,,,,,,,,,,
46,LEAFS,True,5,QAEDA,-YY--,5,5,RANDOM,LEANS,GGG-G,1,1,CSS,LEAKS,GGG-G,1,1,CSS,LEAPS,GGG-G,1,1,CSS,LEAFS,GGGGG,0,0,CSS,,,,,
47,YACHT,True,3,MOTHS,--YG-,4,4,RANDOM,AIGHT,Y--GG,3,3,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
48,MESSY,True,3,DELVE,-G---,4,4,RANDOM,RENTS,-G--Y,4,4,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
49,RYDER,True,5,AMORE,---YY,5,5,RANDOM,SNEER,---GG,3,3,CSS,TRIER,-Y-GG,3,3,CSS,RULER,G--GG,2,2,CSS,RYDER,GGGGG,0,0,CSS,,,,,
50,MOTIF,True,5,CARON,---Y-,5,5,RANDOM,POOLE,-G---,4,4,CSS,BOUTS,-G-Y-,4,4,CSS,TOMMY,YGY--,4,4,CSS,MOTIF,GGGGG,0,0,CSS,,,,,
51,RAVEN,True,5,JURIS,--Y--,5,5,RANDOM,CADRE,-G-YY,4,4,CSS,TAMER,-G-GY,3,3,CSS,RAVEL,GGGG-,1,1,CSS,RAVEN,GGGGG,0,0,CSS,,,,,
52,REICH,True,4,LYNCH,---GG,3,3,RANDOM,TEACH,-G-GG,2,2,CSS,MERCH,-GYGG,2,2,CSS,REICH,GGGGG,0,0,CSS,,,,,,,,,,
53,ICONS,True,4,EARLY,-----,5,5,RANDOM,CUNTS,Y-Y-G,4,3,CSS,NICKS,YYY-G,4,3,CSS,ICONS,GGGGG,0,0,CSS,,,,,,,,,,
54,SILKY,True,4,FRANC,-----,5,5,RANDOM,MILES,-GG-Y,3,3,CSS,SILLY,GGG-G,1,1,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,
55,CARVE,True,3,KATHY,-G---,4,4,RANDOM,CANES,GG-Y-,3,3,CSS,CARVE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
56,LAGER,True,4,CRORE,-Y--Y,5,5,RANDOM,TASER,-G-GG,2,2,CSS,FAMER,-G-GG,2,2,CSS,LAGER,GGGGG,0,0,CSS,,,,,,,,,,
57,JERKS,True,6,ORTON,-Y---,5,5,RANDOM,SERRA,YGG--,3,3,CSS,HERBS,-GG-G,2,2,CSS,PERES,-GG-G,2,2,CSS,GERMS,-GG-G,2,2,CSS,JERKS,GGGGG,0,0,CSS
58,LOTUS,True,3,GAYLE,---Y-,5,5,RANDOM,CLOTS,-YYYG,4,2,CSS,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
59,LACEY,True,3,FALLS,-GY--,4,4,RANDOM,LANEY,GG-GG,1,1,CSS,LACEY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
60,TUDOR,True,4,SISSY,-----,5,5,RANDOM,ARENT,-Y--Y,5,5,CSS,MOTOR,--YGG,3,3,CSS,TUDOR,GGGGG,0,0,CSS,,,,,,,,,,
61,QUOTA,True,3,DUNNO,-G--Y,4,4,RANDOM,OUTER,YGY--,4,4,CSS,QUOTA,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
62,MOURN,True,4,AMPED,-Y---,5,5,RANDOM,MILOS,G--Y-,4,4,CSS,MONTH,GGY--,3,3,CSS,MOURN,GGGGG,0,0,CSS,,,,,,,,,,
63,PROMO,True,4,BARCA,--Y--,5,5,RANDOM,RITES,Y----,5,5,CSS,DROOL,-GGY-,3,3,CSS,PROMO,GGGGG,0,0,CSS,,,,,,,,,,
64,CASTE,True,6,FUDGE,----G,4,4,RANDOM,AISLE,Y-G-G,3,3,CSS,WASTE,-GGGG,1,1,CSS,PASTE,-GGGG,1,1,CSS,HASTE,-GGGG,1,1,CSS,CASTE,GGGGG,0,0,CSS
65,CAPRI,True,4,STUDY,-----,5,5,RANDOM,CANOE,GG---,3,3,CSS,CAPRA,GGGG-,1,1,CSS,CAPRI,GGGGG,0,0,CSS,,,,,,,,,,
66,ALIAS,True,3,MOSHE,--Y--,5,5,RANDOM,TAILS,-YGYG,3,3,CSS,ALIAS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
67,PADDY,False,6,MANNA,-G---,4,4,RANDOM,SALEH,-G---,4,4,CSS,RATIO,-G---,4,4,CSS,BAWDY,-G-GG,2,2,CSS,CADDY,-GGGG,1,1,CSS,DADDY,-GGGG,1,1,CSS
68,BLOBS,True,4,AEGON,---Y-,5,5,RANDOM,ROOTS,--G-G,3,3,CSS,PLOWS,-GG-G,2,2,CSS,BLOBS,GGGGG,0,0,CSS,,,,,,,,,,
69,DILLY,True,4,LUSTY,Y---G,4,4,RANDOM,DELAY,G-G-G,2,2,CSS,DOLLY,G-GGG,1,1,CSS,DILLY,GGGGG,0,0,CSS,,,,,,,,,,
70,GUTSY,True,3,CHEST,---GY,4,4,RANDOM,ARTSY,--GGG,2,2,CSS,GUTSY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
71,TABOR,True,4,PETEY,--Y--,5,5,RANDOM,SAINT,-G--Y,4,4,CSS,TAMAR,GG--G,2,2,CSS,TABOR,GGGGG,0,0,CSS,,,,,,,,,,
72,INLAY,True,4,ELISE,-YY--,5,5,RANDOM,TILDA,-YG-Y,4,4,CSS,MALIN,-YGYY,4,4,CSS,INLAY,GGGGG,0,0,CSS,,,,,,,,,,
73,AHHHH,True,4,GRADE,--Y--,5,5,RANDOM,HASTA,YY---,5,5,CSS,JONAH,---YG,4,4,CSS,AHHHH,GGGGG,0,0,CSS,,,,,,,,,,
74,ROUEN,True,4,CELLO,-Y--Y,5,5,RANDOM,SOREN,-GYGG,2,2,CSS,ROGEN,GG-GG,1,1,CSS,ROUEN,GGGGG,0,0,CSS,,,,,,,,,,
75,BUENA,True,4,ELENA,--GGG,2,2,RANDOM,IRENA,--GGG,2,2,CSS,HYENA,--GGG,2,2,CSS,BUENA,GGGGG,0,0,CSS,,,,,,,,,,
76,MENON,True,4,VEGAS,-G---,4,4,RANDOM,MERLE,GG---,3,3,CSS,MEZZO,GG--Y,3,3,CSS,MENON,GGGGG,0,0,CSS,,,,,,,,,,
77,TRASK,True,3,SHALE,Y-G--,4,4,RANDOM,TRAMS,GGG-Y,2,2,CSS,TRASK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
78,CASIO,True,4,LOOMS,-Y--Y,5,5,RANDOM,ARSON,Y-GY-,4,4,CSS,PASCO,-GGYG,2,2,CSS,CASIO,GGGGG,0,0,CSS,,,,,,,,,,
79,VOILA,True,4,CHILE,--GG-,3,3,RANDOM,STILL,--GG-,3,3,CSS,GUILD,--GG-,3,3,CSS,VOILA,GGGGG,0,0,CSS,,,,,,,,,,
80,AURAL,True,4,SPURT,--YY-,5,4,RANDOM,RULER,YGY--,4,4,CSS,CURLY,-GGY-,3,3,CSS,AURAL,GGGGG,0,0,CSS,,,,,,,,,,
81,LEGER,True,4,BLIMP,-Y---,5,5,RANDOM,HALES,--YG-,4,4,CSS,LEVER,GG-GG,1,1,CSS,LEGER,GGGGG,0,0,CSS,,,,,,,,,,
82,DALLY,True,4,FEUDS,---Y-,5,5,RANDOM,DARIN,GG---,3,3,CSS,DAVAO,GG---,3,3,CSS,DALLY,GGGGG,0,0,CSS,,,,,,,,,,
83,INIGO,True,4,PIPES,-Y---,5,5,RANDOM,CAIRN,--G-Y,4,4,CSS,GLINT,Y-GY-,4,4,CSS,INIGO,GGGGG,0,0,CSS,,,,,,,,,,
84,KRILL,True,4,STENT,-----,5,5,RANDOM,MAORI,---YY,5,5,CSS,KIRBY,GYY--,4,4,CSS,KRILL,GGGGG,0,0,CSS,,,,,,,,,,
85,SNIDE,True,2,INDUS,YGY-Y,4,4,RANDOM,SNIDE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
86,LEWES,True,5,PROBE,----Y,5,5,RANDOM,HANES,---GG,3,3,CSS,MILES,--YGG,3,3,CSS,ELVES,YY-GG,3,3,CSS,LEWES,GGGGG,0,0,CSS,,,,,
87,TAMER,True,6,WINCE,----Y,5,5,RANDOM,RATED,YGYG-,3,3,CSS,TAKER,GG-GG,1,1,CSS,TAPER,GG-GG,1,1,CSS,TASER,GG-GG,1,1,CSS,TAMER,GGGGG,0,0,CSS
88,COTTA,True,4,TREND,Y----,5,5,RANDOM,HALTS,-Y-G-,4,4,CSS,GOTTA,-GGGG,1,1,CSS,COTTA,GGGGG,0,0,CSS,,,,,,,,,,
89,CORBY,True,4,RALPH,Y----,5,5,RANDOM,MORES,-GG--,3,3,CSS,GORDO,-GG--,3,3,CSS,CORBY,GGGGG,0,0,CSS,,,,,,,,,,
90,POLIS,True,4,HUTCH,-----,5,5,RANDOM,SARIN,Y--G-,4,4,CSS,LEVIS,Y--GG,3,3,CSS,POLIS,GGGGG,0,0,CSS,,,,,,,,,,
91,ROXAS,True,5,IRENA,-Y--Y,5,4,RANDOM,SARAH,Y-YG-,4,4,CSS,OSKAR,YY-GY,4,4,CSS,ROJAS,GG-GG,1,1,CSS,ROXAS,GGGGG,0,0,CSS,,,,,
92,RANCE,True,5,ASEAN,Y-Y-Y,5,5,RANDOM,LANCE,-GGGG,1,1,CSS,MANCE,-GGGG,1,1,CSS,VANCE,-GGGG,1,1,CSS,RANCE,GGGGG,0,0,CSS,,,,,
93,CARON,True,5,DUGAN,---YG,4,4,RANDOM,SARIN,-GG-G,2,2,CSS,AARON,-GGGG,1,1,CSS,BARON,-GGGG,1,1,CSS,CARON,GGGGG,0,0,CSS,,,,,
94,SURYA,True,4,GROOM,-Y---,5,5,RANDOM,AIRES,Y-G-Y,4,4,CSS,STRAP,G-GY-,3,3,CSS,SURYA,GGGGG,0,0,CSS,,,,,,,,,,
95,AGGIE,True,4,SILVA,-Y--Y,5,5,RANDOM,DARIN,-Y-G-,4,4,CSS,CHAIM,--YG-,4,4,CSS,AGGIE,GGGGG,0,0,CSS,,,,,,,,,,
96,CAUSA,True,3,FLUFF,--G--,4,4,RANDOM,THURS,--G-Y,4,4,CSS,CAUSA,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
97,BAMBA,True,4,ROSES,-----,5,5,RANDOM,LINDA,----G,4,4,CSS,MAMBA,-GGGG,1,1,CSS,BAMBA,GGGGG,0,0,CSS,,,,,,,,,,
98,MAYNE,True,3,BUGGY,----Y,5,5,RANDOM,MAYES,GGGY-,2,2,CSS,MAYNE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
99,BOGGS,True,6,NOVAK,-G---,4,4,RANDOM,BORES,GG--G,2,2,CSS,BOLUS,GG--G,2,2,CSS,BOMBS,GG--G,2,2,CSS,BOOTS,GG--G,2,2,CSS,BOGGS,GGGGG,0,0,CSS
100,FINNS,True,3,NOTES,Y---G,4,4,RANDOM,GAINS,--YGG,3,3,CSS,FINNS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
