metric,metric_id,group1,group2,meandiff,p_adj,sig_level,significant,lower,upper
Hamming Distance (Round 2),hamming_2,Hybrid,Mid_LLM,0.06925925925925869,0.9995272718943646,ns,No,-0.331040505450117,0.46955902396863436
Hamming Distance (Round 2),hamming_2,Hybrid,Pure_Random,1.0659259259259257,0.0,***,Yes,0.66562616121655,1.4662256906353015
Hamming Distance (Round 2),hamming_2,Hybrid,Random,0.3459259259259255,0.14802068479771335,ns,No,-0.054373838783450146,0.7462256906353012
Hamming Distance (Round 2),hamming_2,Hybrid,Small_LLM,0.2159259259259243,0.7262168478638815,ns,No,-0.18437383878345137,0.6162256906353
Hamming Distance (Round 2),hamming_2,Hybrid,VOI,-0.11407407407407444,0.9888938083549247,ns,No,-0.5143738387834501,0.28622569063530123
Hamming Distance (Round 2),hamming_2,Mid_LLM,Pure_Random,0.996666666666667,2.8591573553171656e-12,***,Yes,0.5963669019572914,1.3969664313760428
Hamming Distance (Round 2),hamming_2,Mid_LLM,Random,0.27666666666666684,0.4154632852289154,ns,No,-0.12363309804270883,0.6769664313760425
Hamming Distance (Round 2),hamming_2,Mid_LLM,Small_LLM,0.1466666666666656,0.9539099587490637,ns,No,-0.25363309804271006,0.5469664313760413
Hamming Distance (Round 2),hamming_2,Mid_LLM,VOI,-0.18333333333333313,0.8610455353537163,ns,No,-0.5836330980427088,0.21696643137604255
Hamming Distance (Round 2),hamming_2,Pure_Random,Random,-0.7200000000000002,1.7113712560412608e-06,***,Yes,-1.120299764709376,-0.3197002352906245
Hamming Distance (Round 2),hamming_2,Pure_Random,Small_LLM,-0.8500000000000014,5.333401165152907e-09,***,Yes,-1.2502997647093772,-0.44970023529062575
Hamming Distance (Round 2),hamming_2,Pure_Random,VOI,-1.1800000000000002,0.0,***,Yes,-1.580299764709376,-0.7797002352906245
Hamming Distance (Round 2),hamming_2,Random,Small_LLM,-0.13000000000000123,0.9762611637602635,ns,No,-0.5302997647093769,0.27029976470937445
Hamming Distance (Round 2),hamming_2,Random,VOI,-0.45999999999999996,0.011817603771450469,*,Yes,-0.8602997647093756,-0.05970023529062429
Hamming Distance (Round 2),hamming_2,Small_LLM,VOI,-0.32999999999999874,0.1945611013219296,ns,No,-0.7302997647093744,0.07029976470937693
Hamming Distance (Round 3),hamming_3,CSS,Frontier_LLM,0.6908503401360542,0.0004945235955243765,***,Yes,0.20326822089322588,1.1784324593788824
Hamming Distance (Round 3),hamming_3,CSS,Hybrid,0.5684072503755737,0.009911652122698955,**,Yes,0.08082513113274542,1.055989369618402
Hamming Distance (Round 3),hamming_3,CSS,Mid_LLM,0.7808503401360545,3.742200558476405e-05,***,Yes,0.2932682208932262,1.2684324593788827
Hamming Distance (Round 3),hamming_3,CSS,Pure_Random,3.0491836734693876,0.0,***,Yes,2.5616015542265593,3.536765792712216
Hamming Distance (Round 3),hamming_3,CSS,Random,0.8329210472067614,7.842792729140236e-06,***,Yes,0.3441216166233292,1.3217204777901936
Hamming Distance (Round 3),hamming_3,CSS,Small_LLM,0.8061836734693877,1.7144049963557784e-05,***,Yes,0.3186015542265594,1.293765792712216
Hamming Distance (Round 3),hamming_3,CSS,VOI,0.23237954975804742,0.8396113160541858,ns,No,-0.2589202804895168,0.7236793800056116
Hamming Distance (Round 3),hamming_3,Frontier_LLM,Hybrid,-0.12244308976048046,0.9946792888786335,ns,No,-0.6075564229160162,0.3626702433950553
Hamming Distance (Round 3),hamming_3,Frontier_LLM,Mid_LLM,0.0900000000000003,0.9992520267845395,ns,No,-0.3951133331555355,0.575113333155536
Hamming Distance (Round 3),hamming_3,Frontier_LLM,Pure_Random,2.3583333333333334,0.0,***,Yes,1.8732200001777977,2.843446666488869
Hamming Distance (Round 3),hamming_3,Frontier_LLM,Random,0.14207070707070724,0.9871336428220298,ns,No,-0.3442661168884022,0.6284075310298167
Hamming Distance (Round 3),hamming_3,Frontier_LLM,Small_LLM,0.11533333333333351,0.9963313055078186,ns,No,-0.3697799998222023,0.6004466664888692
Hamming Distance (Round 3),hamming_3,Frontier_LLM,VOI,-0.45847079037800675,0.08451484006481536,ns,No,-0.9473206100580713,0.030379029302057825
Hamming Distance (Round 3),hamming_3,Hybrid,Mid_LLM,0.21244308976048076,0.8869667212306503,ns,No,-0.272670243395055,0.6975564229160165
Hamming Distance (Round 3),hamming_3,Hybrid,Pure_Random,2.480776423093814,0.0,***,Yes,1.9956630899382781,2.9658897562493496
Hamming Distance (Round 3),hamming_3,Hybrid,Random,0.2645137968311877,0.717629224806682,ns,No,-0.22182302712792173,0.7508506207902972
Hamming Distance (Round 3),hamming_3,Hybrid,Small_LLM,0.23777642309381397,0.813071745831975,ns,No,-0.24733691006172182,0.7228897562493497
Hamming Distance (Round 3),hamming_3,Hybrid,VOI,-0.3360277006175263,0.42291176745560055,ns,No,-0.8248775202975909,0.1528221190625383
Hamming Distance (Round 3),hamming_3,Mid_LLM,Pure_Random,2.268333333333333,0.0,***,Yes,1.7832200001777974,2.753446666488869
Hamming Distance (Round 3),hamming_3,Mid_LLM,Random,0.052070707070706934,0.9999814029090369,ns,No,-0.4342661168884025,0.5384075310298164
Hamming Distance (Round 3),hamming_3,Mid_LLM,Small_LLM,0.025333333333333208,0.9999998704436012,ns,No,-0.4597799998222026,0.5104466664888689
Hamming Distance (Round 3),hamming_3,Mid_LLM,VOI,-0.5484707903780071,0.015657232535970178,*,Yes,-1.0373206100580716,-0.05962097069794248
Hamming Distance (Round 3),hamming_3,Pure_Random,Random,-2.216262626262626,0.0,***,Yes,-2.7025994502217356,-1.7299258023035167
Hamming Distance (Round 3),hamming_3,Pure_Random,Small_LLM,-2.243,0.0,***,Yes,-2.7281133331555356,-1.7578866668444642
Hamming Distance (Round 3),hamming_3,Pure_Random,VOI,-2.81680412371134,0.0,***,Yes,-3.3056539433914045,-2.327954304031276
Hamming Distance (Round 3),hamming_3,Random,Small_LLM,-0.026737373737373726,0.9999998146826689,ns,No,-0.5130741976964832,0.4595994502217357
Hamming Distance (Round 3),hamming_3,Random,VOI,-0.600541497448714,0.005146807544550547,**,Yes,-1.0906054795312494,-0.11047751536617856
Hamming Distance (Round 3),hamming_3,Small_LLM,VOI,-0.5738041237113403,0.009095878898518706,**,Yes,-1.0626539433914048,-0.08495430403127568
Hamming Distance (Round 4),hamming_4,CSS,Frontier_LLM,0.4583549036525738,0.02295460305452024,*,Yes,0.03542157121088063,0.881288236094267
Hamming Distance (Round 4),hamming_4,CSS,Hybrid,0.3336550777113759,0.23215898458230888,ns,No,-0.08512340187447953,0.7524335572972314
Hamming Distance (Round 4),hamming_4,CSS,Mid_LLM,0.5971463266545236,0.0004585759574898818,***,Yes,0.17756726068659118,1.016725392622456
Hamming Distance (Round 4),hamming_4,CSS,Pure_Random,4.06344262295082,0.0,***,Yes,3.6446641433649645,4.482221102536675
Hamming Distance (Round 4),hamming_4,CSS,Random,0.6910616705698673,4.258517342103918e-05,***,Yes,0.2574352097808455,1.1246881313588892
Hamming Distance (Round 4),hamming_4,CSS,Small_LLM,0.445775956284153,0.027656189770623785,*,Yes,0.02699747669829755,0.8645544358700085
Hamming Distance (Round 4),hamming_4,CSS,VOI,0.016631028747921106,0.9999999888627159,ns,No,-0.43639019467505197,0.4696522521708942
Hamming Distance (Round 4),hamming_4,Frontier_LLM,Hybrid,-0.12469982594119788,0.970382638811857,ns,No,-0.4940104815061365,0.24461082962374076
Hamming Distance (Round 4),hamming_4,Frontier_LLM,Mid_LLM,0.1387914230019498,0.9478356223438762,ns,No,-0.23142680716518638,0.509009653169086
Hamming Distance (Round 4),hamming_4,Frontier_LLM,Pure_Random,3.605087719298246,0.0,***,Yes,3.235777063733307,3.974398374863185
Hamming Distance (Round 4),hamming_4,Frontier_LLM,Random,0.23270676691729353,0.59802563066066,ns,No,-0.15335909902526434,0.6187726328598514
Hamming Distance (Round 4),hamming_4,Frontier_LLM,Small_LLM,-0.0125789473684208,0.9999999934007181,ns,No,-0.38188960293335944,0.35673170819651784
Hamming Distance (Round 4),hamming_4,Frontier_LLM,VOI,-0.4417238749046527,0.023039231208231037,*,Yes,-0.8494531652692416,-0.03399458454006371
Hamming Distance (Round 4),hamming_4,Hybrid,Mid_LLM,0.2634912489431477,0.35787779522810415,ns,No,-0.10197331735855497,0.6289558152448503
Hamming Distance (Round 4),hamming_4,Hybrid,Pure_Random,3.729787545239444,0.0,***,Yes,3.365242388108246,4.094332702370641
Hamming Distance (Round 4),hamming_4,Hybrid,Random,0.3574065928584914,0.08518773927235435,ns,No,-0.02410312408195836,0.7389163097989412
Hamming Distance (Round 4),hamming_4,Hybrid,Small_LLM,0.11212087857277708,0.9825653078276334,ns,No,-0.2524242785584208,0.476666035703975
Hamming Distance (Round 4),hamming_4,Hybrid,VOI,-0.3170240489634548,0.24826502843651344,ns,No,-0.7204419284571831,0.0863938305302735
Hamming Distance (Round 4),hamming_4,Mid_LLM,Pure_Random,3.4662962962962958,0.0,***,Yes,3.100831729994593,3.8317608625979984
Hamming Distance (Round 4),hamming_4,Mid_LLM,Random,0.09391534391534373,0.9954931610780814,ns,No,-0.28847299502069657,0.476303682851384
Hamming Distance (Round 4),hamming_4,Mid_LLM,Small_LLM,-0.1513703703703706,0.9133718195450116,ns,No,-0.5168349366720733,0.21409419593133205
Hamming Distance (Round 4),hamming_4,Mid_LLM,VOI,-0.5805152979066025,0.00038694972903075,***,Yes,-0.9847641855111304,-0.17626641030207463
Hamming Distance (Round 4),hamming_4,Pure_Random,Random,-3.3723809523809525,0.0,***,Yes,-3.753890669321402,-2.990871235440503
Hamming Distance (Round 4),hamming_4,Pure_Random,Small_LLM,-3.6176666666666666,0.0,***,Yes,-3.9822118237978645,-3.2531215095354686
Hamming Distance (Round 4),hamming_4,Pure_Random,VOI,-4.046811594202898,0.0,***,Yes,-4.450229473696627,-3.64339371470917
Hamming Distance (Round 4),hamming_4,Random,Small_LLM,-0.24528571428571433,0.5136439410927918,ns,No,-0.6267954312261641,0.13622400265473544
Hamming Distance (Round 4),hamming_4,Random,VOI,-0.6744306418219462,3.329815698172034e-05,***,Yes,-1.0932414320690322,-0.2556198515748602
Hamming Distance (Round 4),hamming_4,Small_LLM,VOI,-0.4291449275362319,0.027840229391190352,*,Yes,-0.8325628070299602,-0.025727048042503586
Hamming Distance (Round 5),hamming_5,CSS,Frontier_LLM,0.1343519494204426,0.9917713780926549,ns,No,-0.3621752557485834,0.6308791545894685
Hamming Distance (Round 5),hamming_5,CSS,Hybrid,0.1864758084982776,0.936224170446838,ns,No,-0.29262211752116435,0.6655737345177195
Hamming Distance (Round 5),hamming_5,CSS,Mid_LLM,0.06554487179487178,0.9999151927360207,ns,No,-0.42524412865064304,0.5563338722403866
Hamming Distance (Round 5),hamming_5,CSS,Pure_Random,4.108461538461539,0.0,***,Yes,3.629862133651126,4.587060943271951
Hamming Distance (Round 5),hamming_5,CSS,Random,0.24434389140271495,0.8482511937512126,ns,No,-0.27955461000276915,0.7682423928081991
Hamming Distance (Round 5),hamming_5,CSS,Small_LLM,0.08393255295429192,0.9995063683583356,ns,No,-0.3989416136564163,0.5668067195650002
Hamming Distance (Round 5),hamming_5,CSS,VOI,-0.12820512820512825,0.9983943198474675,ns,No,-0.7436175569727113,0.4872073005624548
Hamming Distance (Round 5),hamming_5,Frontier_LLM,Hybrid,0.05212385907783501,0.9997651659591887,ns,No,-0.2832728150361814,0.3875205331918514
