game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
71,TABOR,True,4,GIRLY,--Y--,5,5,RANDOM,TUDOR,G--GG,2,2,VOI,TENOR,G--GG,2,2,VOI,TABOR,GGGGG,0,0,VOI,,,,,,,,,,
72,INLAY,True,4,LEELA,Y---Y,5,4,RANDOM,ALIAS,-YYG-,4,4,VOI,PILAR,-YGG-,3,3,VOI,INLAY,GGGGG,0,0,VOI,,,,,,,,,,
73,AHHHH,True,4,ADEPT,G----,4,4,RANDOM,ALIAS,G----,4,4,VOI,ARGON,G----,4,4,VOI,AHHHH,GGGGG,0,0,VOI,,,,,,,,,,
74,ROUEN,True,3,KRAFT,-Y---,5,5,RANDOM,ROUSE,GGG-Y,2,2,VOI,ROUEN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
75,BUENA,True,4,INLET,-Y-Y-,5,5,RANDOM,CARNE,-Y-GY,4,4,VOI,MEANS,-YYG-,4,4,VOI,BUENA,GGGGG,0,0,VOI,,,,,,,,,,
76,MENON,True,4,GLITZ,-----,5,5,RANDOM,AMUSE,-Y--Y,5,5,VOI,DEMON,-GYGG,2,2,VOI,MENON,GGGGG,0,0,VOI,,,,,,,,,,
77,TRASK,True,3,BRICS,-G--Y,4,4,RANDOM,KRUSE,YG-G-,3,3,VOI,TRASK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
78,CASIO,True,4,BINGO,-Y--G,4,4,RANDOM,PRIMO,--Y-G,4,4,VOI,IDAHO,Y-Y-G,4,4,VOI,CASIO,GGGGG,0,0,VOI,,,,,,,,,,
79,VOILA,True,5,TUNIC,---Y-,5,5,RANDOM,PILAR,-YYY-,5,3,VOI,ALISA,-YG-G,3,3,VOI,LEILA,--GGG,2,2,VOI,VOILA,GGGGG,0,0,VOI,,,,,
80,AURAL,True,4,HIRST,--G--,4,4,RANDOM,CARNE,-YG--,4,4,VOI,ARROW,G-G--,3,3,VOI,AURAL,GGGGG,0,0,VOI,,,,,,,,,,
81,LEGER,True,3,INTER,---GG,3,3,RANDOM,LAKER,G--GG,2,2,VOI,LEGER,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
82,DALLY,True,4,POEMS,-----,5,5,RANDOM,KILDA,--GYY,4,4,VOI,DYLAN,GYGY-,3,3,VOI,DALLY,GGGGG,0,0,VOI,,,,,,,,,,
83,INIGO,True,3,DRESS,-----,5,5,RANDOM,AMIGO,--GGG,2,2,VOI,INIGO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
84,KRILL,True,6,COORS,---Y-,5,5,RANDOM,LEGER,Y---Y,5,5,VOI,AURAL,--Y-G,4,4,VOI,DRILL,-GGGG,1,1,VOI,TRILL,-GGGG,1,1,VOI,KRILL,GGGGG,0,0,VOI
85,SNIDE,True,4,PONCE,--Y-G,4,4,RANDOM,MARNE,---YG,4,4,VOI,NUDGE,Y-Y-G,4,3,VOI,SNIDE,GGGGG,0,0,VOI,,,,,,,,,,
86,LEWES,True,3,BELOW,-GY-Y,4,4,RANDOM,LEWIN,GGG--,2,2,VOI,LEWES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
87,TAMER,True,5,CLOTS,---Y-,5,5,RANDOM,HATED,-GYG-,3,3,VOI,TAKEN,GG-G-,2,2,VOI,TAPER,GG-GG,1,1,VOI,TAMER,GGGGG,0,0,VOI,,,,,
88,COTTA,True,6,REIKI,-----,5,5,RANDOM,GUTSY,--G--,4,4,VOI,PATNA,--G-G,3,3,VOI,BOTHA,-GG-G,2,2,VOI,LOTTA,-GGGG,1,1,VOI,COTTA,GGGGG,0,0,VOI
89,CORBY,False,6,TULSA,-----,5,5,RANDOM,MIRED,--G--,4,4,VOI,FORGO,-GG--,3,3,VOI,PORCH,-GGY-,3,3,VOI,CORNY,GGG-G,1,1,VOI,CORKY,GGG-G,1,1,VOI
90,POLIS,True,6,RUNNY,-----,5,5,RANDOM,LOWES,YG--G,3,3,VOI,FOLKS,-GG-G,2,2,VOI,COLDS,-GG-G,2,2,VOI,SOLIS,-GGGG,1,1,VOI,POLIS,GGGGG,0,0,VOI
91,ROXAS,True,6,LINKS,----G,4,4,RANDOM,GERMS,--Y-G,4,4,VOI,COURS,-G-YG,3,3,VOI,ROADS,GGY-G,2,2,VOI,ROJAS,GG-GG,1,1,VOI,ROXAS,GGGGG,0,0,VOI
92,RANCE,True,4,MEALS,-YY--,5,5,RANDOM,TAPER,-G-YY,4,4,VOI,CARNE,YGYYG,3,3,VOI,RANCE,GGGGG,0,0,VOI,,,,,,,,,,
93,CARON,True,3,VITAL,---Y-,5,5,RANDOM,RANCE,YGYY-,4,4,VOI,CARON,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
94,SURYA,True,3,WARMS,-YG-Y,4,4,RANDOM,SURAT,GGGY-,2,2,VOI,SURYA,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
95,AGGIE,True,6,MOVES,---Y-,5,5,RANDOM,REINA,-YY-Y,5,5,VOI,KATIE,-Y-GG,3,3,VOI,ALFIE,G--GG,2,2,VOI,ABBIE,G--GG,2,2,VOI,AGGIE,GGGGG,0,0,VOI
96,CAUSA,True,5,DUVAL,-Y-Y-,5,4,RANDOM,ABOUT,Y--Y-,5,5,VOI,USAIN,YYY--,5,4,VOI,SAUCE,YGGY-,3,3,VOI,CAUSA,GGGGG,0,0,VOI,,,,,
97,BAMBA,True,4,VINCI,-----,5,5,RANDOM,AYRES,Y----,5,5,VOI,BOTHA,G---G,3,3,VOI,BAMBA,GGGGG,0,0,VOI,,,,,,,,,,
98,MAYNE,True,4,PÉREZ,---Y-,5,5,RANDOM,SALVE,-G--G,3,3,VOI,KATIE,-G--G,3,3,VOI,MAYNE,GGGGG,0,0,VOI,,,,,,,,,,
99,BOGGS,True,3,HAGEN,--G--,4,4,RANDOM,RIGGS,--GGG,2,2,VOI,BOGGS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
100,FINNS,False,6,CLASH,---Y-,5,5,RANDOM,BOGGS,----G,4,4,VOI,MENUS,--G-G,3,3,VOI,PINTS,-GG-G,2,2,VOI,WINKS,-GG-G,2,2,VOI,FINDS,GGG-G,1,1,VOI
